"        ",Employees,Students,Total
"Aug 1, 2020",12,14,26
"Aug 2, 2020",12,15,27
"Aug 3, 2020",10,17,27
"Aug 4, 2020",10,16,26
"Aug 5, 2020",11,16,27
"Aug 6, 2020",8,14,22
"Aug 7, 2020",8,14,22
"Aug 8, 2020",8,17,25
"Aug 9, 2020",8,16,24
"Aug 10, 2020",8,16,24
"Aug 11, 2020",8,18,26
"Aug 12, 2020",8,20,28
"Aug 13, 2020",7,29,36
"Aug 14, 2020",7,44,51
"Aug 15, 2020",8,56,64
"Aug 16, 2020",9,60,69
"Aug 17, 2020",9,66,75
"Aug 18, 2020",8,89,97
"Aug 19, 2020",8,97,105
"Aug 20, 2020",7,103,110
"Aug 21, 2020",6,104,110
"Aug 22, 2020",6,112,118
"Aug 23, 2020",6,112,118
"Aug 24, 2020",6,120,126
"Aug 25, 2020",7,124,131
"Aug 26, 2020",7,137,144
"Aug 27, 2020",6,144,150
"Aug 28, 2020",5,148,153
"Aug 29, 2020",4,175,179
"Aug 30, 2020",5,205,210
"Aug 31, 2020",5,193,198
"Sep 1, 2020",5,238,243
"Sep 2, 2020",5,303,308
"Sep 3, 2020",6,363,369
"Sep 4, 2020",6,474,480
"Sep 5, 2020",6,512,518
"Sep 6, 2020",6,584,590
"Sep 7, 2020",8,592,600
"Sep 8, 2020",6,616,622
"Sep 9, 2020",9,653,662
"Sep 10, 2020",11,661,672
"Sep 11, 2020",11,623,634
"Sep 12, 2020",12,659,671
"Sep 13, 2020",13,667,680
"Sep 14, 2020",15,630,645
"Sep 15, 2020",13,486,499
"Sep 16, 2020",14,421,435
"Sep 17, 2020",14,398,412
"Sep 18, 2020",15,331,346
"Sep 19, 2020",15,328,343
"Sep 20, 2020",15,323,338
"Sep 21, 2020",12,166,178
"Sep 22, 2020",8,124,132
"Sep 23, 2020",8,127,135
"Sep 24, 2020",5,114,119
"Sep 25, 2020",6,96,102
"Sep 26, 2020",6,94,100
"Sep 27, 2020",6,89,95
"Sep 28, 2020",4,69,73
"Sep 29, 2020",3,72,75
"Sep 30, 2020",4,84,88
"Oct 1, 2020",1,89,90
"Oct 2, 2020",4,82,86
"Oct 3, 2020",4,67,71
"Oct 4, 2020",4,53,57
"Oct 5, 2020",3,55,58
"Oct 6, 2020",3,55,58
"Oct 7, 2020",2,59,61
"Oct 8, 2020",2,59,61
"Oct 9, 2020",1,65,66
"Oct 10, 2020",2,56,58
"Oct 11, 2020",2,57,59
"Oct 12, 2020",2,57,59
"Oct 13, 2020",3,59,62
"Oct 14, 2020",3,58,61
"Oct 15, 2020",3,46,49
"Oct 16, 2020",3,39,42
"Oct 17, 2020",3,34,37
"Oct 18, 2020",2,37,39
"Oct 19, 2020",4,36,40
"Oct 20, 2020",4,43,47
"Oct 21, 2020",4,57,61
"Oct 22, 2020",5,52,57
"Oct 23, 2020",5,50,55
"Oct 24, 2020",5,45,50
"Oct 25, 2020",7,47,54
"Oct 26, 2020",10,53,63
"Oct 27, 2020",9,51,60
"Oct 28, 2020",10,56,66
"Oct 29, 2020",11,61,72
"Oct 30, 2020",12,71,83
"Oct 31, 2020",11,68,79
"Nov 1, 2020",11,57,68
"Nov 2, 2020",5,55,60
"Nov 3, 2020",5,53,58
"Nov 4, 2020",7,58,65
"Nov 5, 2020",7,58,65
"Nov 6, 2020",6,68,74
