" ",Employees,Students (residential),Students (non-residential)
"Sep 2, 2020",62,650,730
"Sep 3, 2020",66,754,827
"Sep 4, 2020",68,867,877
"Sep 5, 2020",68,914,913
"Sep 6, 2020",74,950,959
"Sep 7, 2020",73,955,984
"Sep 8, 2020",68,961,985
"Sep 9, 2020",70,923,1030
"Sep 10, 2020",76,985,1018
"Sep 11, 2020",82,1018,969
"Sep 12, 2020",84,1091,984
"Sep 13, 2020",88,1073,1014
"Sep 14, 2020",102,1093,892
"Sep 15, 2020",100,1006,678
"Sep 16, 2020",102,859,660
"Sep 17, 2020",107,802,631
"Sep 18, 2020",94,684,512
"Sep 19, 2020",96,679,516
"Sep 20, 2020",97,680,528
"Sep 21, 2020",78,378,393
"Sep 22, 2020",60,299,326
"Sep 23, 2020",56,283,311
"Sep 24, 2020",46,171,241
"Sep 25, 2020",44,135,229
"Sep 26, 2020",42,125,223
"Sep 27, 2020",40,112,191
"Sep 28, 2020",35,103,160
"Sep 29, 2020",37,102,174
"Sep 30, 2020",39,95,180
"Oct 1, 2020",34,96,189
"Oct 2, 2020",34,77,165
"Oct 3, 2020",31,65,147
"Oct 4, 2020",31,52,131
"Oct 5, 2020",31,52,142
"Oct 6, 2020",31,61,144
"Oct 7, 2020",34,76,161
"Oct 8, 2020",29,82,157
"Oct 9, 2020",28,88,167
"Oct 10, 2020",27,87,165
"Oct 11, 2020",29,88,176
"Oct 12, 2020",30,100,166
"Oct 13, 2020",34,111,196
"Oct 14, 2020",37,98,208
"Oct 15, 2020",35,93,194
"Oct 16, 2020",34,80,189
"Oct 17, 2020",30,69,166
"Oct 18, 2020",28,74,167
"Oct 19, 2020",28,77,181
"Oct 20, 2020",31,86,194
"Oct 21, 2020",29,106,202
"Oct 22, 2020",32,94,182
"Oct 23, 2020",33,92,185
"Oct 24, 2020",32,82,169
"Oct 25, 2020",31,83,164
"Oct 26, 2020",36,88,164
"Oct 27, 2020",37,89,178
"Oct 28, 2020",41,105,170
"Oct 29, 2020",42,118,164
"Oct 30, 2020",42,116,169
"Oct 31, 2020",41,108,159
"Nov 1, 2020",39,104,149
"Nov 2, 2020",35,124,150
"Nov 3, 2020",55,114,159
"Nov 4, 2020",54,116,175
"Nov 5, 2020",57,118,199
"Nov 6, 2020",54,110,200
"Nov 7, 2020",53,129,190
"Nov 8, 2020",52,109,191
"Nov 9, 2020",52,121,217
"Nov 10, 2020",61,135,245
"Nov 11, 2020",62,134,250
"Nov 12, 2020",65,141,254
"Nov 13, 2020",70,118,241
"Nov 14, 2020",69,111,219
"Nov 15, 2020",67,108,215
"Nov 16, 2020",70,129,246
"Nov 17, 2020",80,134,276
"Nov 18, 2020",89,144,293
"Nov 19, 2020",94,158,326
"Nov 20, 2020",101,176,359
"Nov 21, 2020",92,171,329
"Nov 22, 2020",86,169,315
"Nov 23, 2020",104,178,352
"Nov 24, 2020",101,165,344
"Nov 25, 2020",102,155,333
"Nov 26, 2020",103,157,341
"Nov 27, 2020",104,161,345
"Nov 28, 2020",103,155,328
"Nov 29, 2020",96,131,311
"Nov 30, 2020",94,124,283
"Dec 1, 2020",98,122,284
"Dec 2, 2020",103,94,241
"Dec 3, 2020",80,45,112
"Dec 4, 2020",84,20,89
"Dec 5, 2020",75,13,80
"Dec 6, 2020",81,11,93
"Dec 7, 2020",86,13,98
"Dec 8, 2020",94,18,113
"Dec 9, 2020",92,17,97
"Dec 10, 2020",92,20,103
"Dec 11, 2020",93,16,116
"Dec 12, 2020",88,15,108
"Dec 13, 2020",72,14,106
"Dec 14, 2020",80,12,125
"Dec 15, 2020",79,11,132
"Dec 16, 2020",70,11,128
"Dec 17, 2020",67,8,124
"Dec 18, 2020",65,7,118
"Dec 19, 2020",59,5,103
"Dec 20, 2020",54,5,78
"Dec 21, 2020",55,12,80
"Dec 22, 2020",53,15,79
"Dec 23, 2020",46,14,75
"Dec 24, 2020",49,13,75
"Dec 25, 2020",36,12,58
"Dec 26, 2020",23,11,36
"Dec 27, 2020",26,11,34
"Dec 28, 2020",41,11,43
"Dec 29, 2020",47,18,44
"Dec 30, 2020",56,22,39
"Dec 31, 2020",59,22,40
"Jan 1, 2021",57,22,37
"Jan 2, 2021",55,15,48
"Jan 3, 2021",55,16,46
"Jan 4, 2021",68,19,59
"Jan 5, 2021",79,19,64
"Jan 6, 2021",88,23,75
"Jan 7, 2021",85,15,86
"Jan 8, 2021",80,16,101
"Jan 9, 2021",66,12,79
"Jan 10, 2021",65,10,78
"Jan 11, 2021",70,14,91
