"","dataset","citation","n","dataset_index","best_model","h00","0m0","hm0","00b","h0b","0mb","hmb"
"1","14_Bendif, E.M., Nevado, B., Wong, E.L.Y.<ca>et al., 2019.<ca>Repeated species radiations in the recent evolution of the key marine phytoplankton lineage<ca>Gephyrocapsa.<ca>Nature Communications<ca>10:4234.","Bendif, E.M., Nevado, B., Wong, E.L.Y.<ca>et al., 2019.<ca>Repeated species radiations in the recent evolution of the key marine phytoplankton lineage<ca>Gephyrocapsa.<ca>Nature Communications<ca>10:4234.",22,14,"h00","0.000000","5.129361","1.882000","1.183270","1.946025","2.560909","3.535611"
"2","15_Bendif, E.M., Nevado, B., Wong, E.L.Y.<ca>et al., 2019.<ca>Repeated species radiations in the recent evolution of the key marine phytoplankton lineage<ca>Gephyrocapsa.<ca>Nature Communications<ca>10:4234.","Bendif, E.M., Nevado, B., Wong, E.L.Y.<ca>et al., 2019.<ca>Repeated species radiations in the recent evolution of the key marine phytoplankton lineage<ca>Gephyrocapsa.<ca>Nature Communications<ca>10:4234.",22,15,"h00","0.00000000","7.54623798","1.97622880","2.92790153","1.96787051","4.13714546","0.03690936"
"3","22_Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian Niveau Breistroffer (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.","Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian Niveau Breistroffer (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.",25,22,"00b","0.04993858","6.23413707","0.54691960","0.00000000","0.77163095","1.70709560","2.52383043"
"4","23_Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian Niveau Breistroffer (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.","Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian Niveau Breistroffer (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.",25,23,"hm0"," 0.2153782","28.4290381"," 0.0000000","13.3581826"," 0.3939780"," 4.3310270"," 2.1119183"
"5","24_Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian Niveau Breistroffer (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.","Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian Niveau Breistroffer (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.",25,24,"h0b"," 0.6874455","36.5123329"," 0.6281596","19.2110450"," 0.0000000","11.2443042"," 1.8182723"
"6","25_Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian Niveau Breistroffer (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.","Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian Niveau Breistroffer (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.",25,25,"h00"," 0.000000","15.907803"," 1.931245"," 5.658709"," 1.903233"," 3.783326"," 3.877711"
"7","26_Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian Niveau Breistroffer (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.","Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian Niveau Breistroffer (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.",25,26,"h00"," 0.000000","25.618975"," 1.905486"," 9.336124"," 1.992061"," 6.549636"," 2.830853"
"8","27_Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian Niveau Breistroffer (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.","Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian Niveau Breistroffer (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.",25,27,"h00"," 0.0000000","28.2989069"," 1.9535669","12.3746290"," 1.6180666","10.3656730"," 0.9387328"
"9","28_Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian Niveau Breistroffer (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.","Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian Niveau Breistroffer (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.",25,28,"h00"," 0.000000","21.938627"," 1.999427"," 7.267097"," 1.982788"," 3.972647"," 3.942168"
"10","29_Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian Niveau Breistroffer (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.","Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian Niveau Breistroffer (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.",25,29,"hmb"," 9.074704","18.350431","10.471573"," 5.170536"," 6.985306"," 3.049266"," 0.000000"
